Category,Module Name,Purpose / Output Goal,Dependencies & Notes,Expertise Level,Team,OS,Application,Pre Config,Compliance Mapping
Service Level Management,sla_alert_escalation_policy_checker,Ensure escalation policies trigger correctly on SLA breaches,SLAM API; helpdesk API,Level 3,Helpdesk & MSP Operations,Platform agnostic,ServiceNow/Jira API,Escalation rules loaded; API integration configured,
Service Level Management,sla_monthly_trend_reporter,Generate monthly SLA compliance trends,SLAM API; reporting engine,Level 2,MSP Operations Team,Platform agnostic,Tenantra SLAM,Reporting schedules defined; Engine credentials set,
Remote Monitoring & Management,rmm_agent_network_latency_monitor,Measure agent-to-server latency across tenants,RMM API; network probes,Level 2,MSP Operations Team,"Windows, Linux, macOS",RMM Platform API,Probe config loaded; Agent telemetry enabled,
Remote Monitoring & Management,remote_support_tool_usage_by_tenant,Track remote support sessions and tools per tenant,RMM & helpdesk APIs,Level 3,MSP Operations Team,"Windows, Linux, macOS","RMM, ServiceNow",Session logging enabled; Tool credentials configured,
Remote Monitoring & Management,rmm_agent_process_monitor_by_tenant,Alert on runaway processes detected per tenant,Agent telemetry; process baselines,Level 3,MSP Operations Team,"Windows, Linux, macOS",Agent (Tenantra),Baseline process list loaded; Agent configured,
Helpdesk & Ticketing,ticket_backlog_growth_analyzer,Detect growing ticket backlogs per tenant,Helpdesk API; analytics engine,Level 3,Helpdesk Team,Platform agnostic,ServiceNow/Jira API,Analytics jobs scheduled; API creds configured,
Helpdesk & Ticketing,ticket_resolution_quality_scanner,Audit resolution notes for quality and compliance,Helpdesk logs; NLP engine,Level 4,Helpdesk Team,Platform agnostic,NLP Service,Model endpoint configured; Helpdesk integration set,
Helpdesk & Ticketing,ticket_priority_fidelity_checker,Ensure ticket priorities align with SLAs and urgency rules,Helpdesk API; SLA data,Level 3,Helpdesk Team,Platform agnostic,ServiceNow/Jira API,SLA definitions loaded; API integration enabled,
IT Process Automation,cross_region_backup_consistency_checker,Verify backups across regions are consistent,Cloud backup APIs; checksum tool,Level 3,Cloud Ops Team,Platform agnostic,AWS/Azure/GCP Backup,Backup jobs defined; Checksum rules configured,
IT Process Automation,msp_tenant_onboarding_automation,Automate tenant provisioning workflow,ServiceNow Flow; Tenantra API,Level 3,MSP Operations Team,Platform agnostic,"ServiceNow, Tenantra",Flow definitions imported; API credentials configured,
IT Process Automation,msp_tenant_offboarding_automation,Automate tenant deprovisioning workflow,ServiceNow Flow; Tenantra API,Level 3,MSP Operations Team,Platform agnostic,"ServiceNow, Tenantra",Flow definitions imported; API credentials configured,
IT Process Automation,msp_tenant_resource_cleanup,Automatically clean up unused tenant resources after offboarding,Cloud SDK; orchestration tool,Level 3,MSP Operations Team,Platform agnostic,"Terraform, Ansible",Offboarding playbooks configured; Scheduler defined,
IT Process Automation,incident_severity_reclassification_engine,Reclassify incident severities based on ML impact analysis,Incident logs; ML model,Level 4,Security & Compliance Team,Platform agnostic,ML Engine,Model endpoint integrated; Incident feed configured,
IT Process Automation,tenant_cost_center_tag_enforcer,Apply cost-center tags to tenant resources automatically,Cloud SDK; tagging policies,Level 2,Cloud Ops Team,Platform agnostic,AWS/Azure/GCP SDK,Tag policy definitions loaded; IAM roles configured,
IT Process Automation,config_backup_and_encrypt_automation,Automate encrypted backups of key configs,Encryption tool; storage API,Level 3,SysAdmin Team,"Windows, Linux, macOS",Ansible/Terraform,Encryption keys in Vault; Backup targets configured,
IT Process Automation,auto_ssl_certificate_renewal,Automatically renew and deploy SSL/TLS certificates,ACME client; web server API,Level 3,DevOps Team,"Linux, Windows",ACME Client,DNS API creds configured; Server API credentials,
IT Process Automation,user_password_policy_enforcer,Enforce password complexity and rotate policies automatically,AD/LDAP API; policy engine,Level 3,Security & Compliance Team,"Windows, Linux",Agent (Tenantra),Policy definitions imported; Agent configured,
IT Process Automation,license_key_auto_distribution,Automate distribution of license keys to endpoints,License DB API; deployment tool,Level 2,Internal IT Team,"Windows, macOS, Linux",Tenantra License Manager,License DB credentials; Deployment playbooks configured,
IT Process Automation,container_auto_rebuild_on_vuln,Trigger container rebuilds when new CVEs detected,Container registry API; CI/CD integration,Level 4,DevOps Team,Linux,GitLab CI/Jenkins,Vulnerability webhook enabled; Build pipelines configured,
IT Process Automation,api_deprecation_notifier,Notify teams when deprecated API endpoints are used,API gateway logs; notification engine,Level 3,Integration Team,Platform agnostic,Slack/MS Teams Bot,Webhooks configured; Deprecation metadata loaded,
IT Process Automation,disk_space_auto_cleaner,Automatically clean temp/log files when disk low,Cleanup scripts; agent,Level 2,SysAdmin Team,"Windows, Linux",Agent (Tenantra),Cleanup policies defined; Agent configured,
IT Process Automation,patch_precheck_and_staging,Pre-validate patches in staging environments,Staging APIs; test harness,Level 3,DevOps Team,"Windows, Linux",Ansible/Terraform,Staging environment creds; Test scripts configured,
IT Process Automation,network_acl_auto_enforcer,Automatically apply missing firewall rules based on policy,Firewall API; policy engine,Level 4,Network Security Team,Network Appliance OS,Firewall API,Policy definitions loaded; API credentials configured,
IT Process Automation,db_schema_migration_auto_validator,Validate DB schema migrations before production,Migration tool; test DB,Level 4,DBA Team,"Windows, Linux",Flyway/Liquibase,Test DB connection configured; Migration scripts loaded,
Multi-Tenant Management,msp_billing_cycle_end_notifier,Notify finance teams at each tenant’s billing cycle end,Billing engine API; calendar integration,Level 2,MSP Operations Team,Platform agnostic,Tenantra Billing Engine,Billing cycles defined; Notification channels configured,
Multi-Tenant Management,msp_security_patch_schedule_optimizer,Optimize patch windows per tenant to minimize disruption,Usage metrics; maintenance windows,Level 3,MSP Operations Team,"Windows, Linux, macOS",Tenantra Scheduling,Usage data ingested; Scheduling playbooks configured,
Multi-Tenant Management,msp_environment_provisioning_tracker,Track provisioning of test/dev/prod environments per tenant,Provisioning API; CMDB,Level 3,MSP Operations Team,Platform agnostic,Tenantra CMDB,Provisioning credentials; CMDB integration configured,
Service Level Management,sla_drift_detection,Detect SLA definition drift from agreed baselines,SLAM API; baseline snapshots,Level 3,MSP Operations Team,Platform agnostic,Tenantra SLAM,Baseline definitions imported; Snapshots scheduled,
Service Level Management,sla_incident_correlation_engine,Correlate incidents to SLA breaches for root cause analysis,Incident API; SLAM API,Level 4,MSP Operations Team,Platform agnostic,"SOAR Platform, SLAM",Incident feed configured; Correlation rules loaded,
User & Account Management,privileged_user_access_auto_review,Automatically review privileged user access monthly,AD/LDAP API; review workflow,Level 3,Security & Compliance Team,"Windows AD, Linux LDAP","SailPoint, ServiceNow",Workflow definitions loaded; API credentials configured,
User & Account Management,mfa_enforcement_report,Report on MFA adoption and enforcement across all accounts,Identity provider API; compliance DB,Level 2,Security & Compliance Team,Platform agnostic,Okta/Azure AD,MFA policies loaded; Report schedule configured,
User & Account Management,ldap_directory_cleanup_automation,Automate removal of stale LDAP entries,LDAP API; HR feed,Level 3,Internal IT Team,"Windows AD, Linux LDAP",LDAP API,HR integration configured; Cleanup policy loaded,
Remote Monitoring & Management,remote_installation_task_scheduler,Schedule remote installation tasks across endpoints,RMM API; package repository,Level 2,MSP Operations Team,"Windows, Linux, macOS",RMM Platform API,Package repo configured; RMM credentials loaded,
Remote Monitoring & Management,remote_security_patch_verification,Verify remote patch deployments succeeded without errors,RMM API; patch logs,Level 3,MSP Operations Team,"Windows, Linux",RMM Platform API,Patch logs ingest configured; Verification scripts loaded,
Remote Monitoring & Management,remote_service_restart_automation,Automatically restart hung services remotely,RMM API; service control scripts,Level 3,MSP Operations Team,"Windows, Linux",RMM Platform API,Restart scripts configured; RMM integration enabled,
Performance & Availability,container_startup_failure_alert,Alert when containers fail to start repeatedly,K8s events; metrics-server,Level 3,DevOps Team,Linux,Kubernetes API,Event collector configured; Alert rules defined,
Performance & Availability,disk_iops_monitor,Track disk IOPS and alert on sustained high I/O rates,Disk metrics exporter; monitoring server,Level 2,DevOps Team,"Windows, Linux, macOS",Prometheus,Exporter deployed; Alert thresholds defined,
Performance & Availability,network_jitter_monitor,Measure network jitter and alert on spikes,Latency probes; metrics-server,Level 2,DevOps Team,"Windows, Linux, macOS",Prometheus,Probe configuration defined; Alert rules created,
Backup & Disaster Recovery,offsite_backup_snapshot_validator,Verify off‐site snapshot consistency and accessibility,Cloud storage API; checksum tool,Level 3,Internal IT Team,"Windows, Linux, macOS",AWS/Azure/GCP SDK,Snapshot locations configured; Checksums configured,
Backup & Disaster Recovery,dr_failover_readiness_checker,Test DR failover readiness and record results,Orchestration API; test scripts,Level 3,Infrastructure Team,Platform agnostic,Ansible/Terraform,Failover playbooks imported; Test scripts configured,
Backup & Disaster Recovery,backup_storage_encryption_audit,Confirm backup data is encrypted at rest and in transit,Backup API; encryption audit tool,Level 2,Internal IT Team,"Windows, Linux, macOS",Veeam/Azure/AWS Backup,Encryption policies loaded; Audit keys configured,
Backup & Disaster Recovery,backup_retention_compliance_checker,Ensure backups adhere to retention policies,Backup API; retention rules,Level 2,Internal IT Team,"Windows, Linux, macOS",Veeam/Azure/AWS Backup,Retention policies defined; Schedule configured,
Backup & Disaster Recovery,snapshot_discrepancy_detector,Detect mismatches between logical and physical snapshots,Snapshot catalog; storage API,Level 3,Internal IT Team,Platform agnostic,Storage API,Snapshot catalog synced; Storage access configured,
Service Monitoring,api_endpoint_uptime_tracker,Track API endpoint availability and downtime,HTTP probes; monitoring server,Level 2,DevOps Team,Platform agnostic,Prometheus/Grafana,Probe endpoints configured; Alerts defined,
Service Monitoring,mail_server_delivery_latency_monitor,Measure mail delivery times and flag delays,SMTP logs; metrics exporter,Level 2,Infrastructure Team,"Windows, Linux",Exchange/Postfix API,Log forwarding configured; Exporter set,
Service Monitoring,database_replica_lag_monitor,Alert when DB replica lag exceeds threshold,DB replication stats; agent,Level 3,DBA Team,"Windows, Linux",SQL Server/MySQL/Postgres,Replica metrics enabled; Agent configured,
Service Monitoring,container_health_probe_default_enforcer,Ensure health probes are configured for all containers,K8s config API; admission webhook,Level 3,DevOps Team,Linux,Kubernetes API,Admission webhook configured; Default probes defined,
Service Monitoring,external_service_dependency_monitor,Monitor external APIs/services your application depends on,Service catalog; HTTP probes,Level 2,DevOps Team,Platform agnostic,Prometheus/Grafana,Service list imported; Probes configured,
Performance & Availability,storage_latency_alert,Alert on storage subsystem latency spikes,Storage metrics exporter; monitoring server,Level 2,Infrastructure Team,"Windows, Linux, macOS",Prometheus,Exporter deployed; Alert thresholds defined,
Performance & Availability,cpu_steal_time_monitor,Detect CPU steal time in virtualized environments,System metrics exporter; monitoring server,Level 2,DevOps Team,Linux,Prometheus,Exporter deployed; Scrape config loaded,
Performance & Availability,memory_swap_usage_monitor,Alert when swap usage exceeds threshold,System metrics exporter; monitoring server,Level 2,DevOps Team,Linux,Prometheus,Exporter deployed; Alert rules defined,
Performance & Availability,pod_eviction_rate_tracker,Measure pod eviction frequencies,K8s events; metrics-server,Level 2,DevOps Team,Linux,Kubernetes API,Event collection enabled; Alert rules loaded,
Performance & Availability,container_network_errors_monitor,Track container network errors,cAdvisor metrics; monitoring server,Level 2,DevOps Team,Linux,cAdvisor,Exporter deployed; Alert thresholds defined,
Logging & Observability,syslog_server_availability_checker,Ensure syslog servers are reachable and responsive,Ping/HTTP probes; log shippers,Level 2,DevOps Team,Linux,rsyslog/Fluentd,Probes configured; Shippers enabled,
Logging & Observability,log_search_performance_monitor,Measure log search query times in ELK/Splunk,Search engine APIs; metrics exporter,Level 2,DevOps Team,Linux,Elasticsearch/Splunk,API credentials loaded; Exporter configured,
Logging & Observability,log_parser_error_rate_alert,Alert on high rate of log parsing errors,Log parser logs; metrics collector,Level 2,DevOps Team,Linux,Agent (Tenantra),Parser configs loaded; Exporter enabled,
Logging & Observability,trace_span_anomaly_detector,Detect anomalous trace spans outside expected durations,Tracing data; anomaly detection model,Level 4,DevOps Team,Linux,Jaeger/Zipkin,Model endpoint configured; Trace collector enabled,
Security & Compliance,compliance_gap_analysis_reporter,Generate reports on missing compliance controls,Compliance DB; control catalog,Level 3,Security & Compliance Team,"Windows, Linux, macOS",Agent (Tenantra),Control catalog updated; Report templates configured,
Security & Compliance,policy_violation_rate_monitor,Track rate of policy violations across all systems,Agent telemetry; policy engine,Level 3,Security & Compliance Team,"Windows, Linux, macOS",Agent (Tenantra),Policy definitions loaded; Agent configured,
Security & Compliance,vulnerability_trend_reporter,Summarize trends in vulnerabilities over time,Vulnerability DB; reporting engine,Level 3,Security & Compliance Team,"Windows, Linux, macOS",Agent (Tenantra),Vulnerability feeds updated; Reporting scheduled,
Security & Compliance,remediation_completion_tracker,Track completion status of automated remediation tasks,Orchestration API; remediation logs,Level 3,Security & Compliance Team,Platform agnostic,Ansible/Terraform,Logs ingestion enabled; Orchestration credentials configured,
Security & Compliance,access_review_schedule_monitor,Ensure periodic access reviews occur as scheduled,Identity API; review workflow engine,Level 3,Security & Compliance Team,Platform agnostic,"SailPoint, Okta",Review schedules loaded; Workflow integration configured,
Security & Compliance,encryption_key_rotation_audit,Audit rotation status of data encryption keys,Vault API; key management logs,Level 3,Security & Compliance Team,Platform agnostic,Vault,Rotation schedules loaded; Audit logs enabled,
Backup & Disaster Recovery,offsite_backup_snapshot_validator,Verify off‐site snapshot consistency and accessibility,Cloud storage API; checksum tool,Level 3,Internal IT Team,"Windows, Linux, macOS",AWS/Azure/GCP SDK,Snapshot locations configured; Checksums configured,
Backup & Disaster Recovery,dr_failover_readiness_checker,Test DR failover readiness and record results,Orchestration API; test scripts,Level 3,Infrastructure Team,Platform agnostic,Ansible/Terraform,Failover playbooks imported; Test scripts configured,
Backup & Disaster Recovery,backup_storage_encryption_audit,Confirm backup data is encrypted at rest and in transit,Backup API; encryption audit tool,Level 2,Internal IT Team,"Windows, Linux, macOS",Veeam/Azure/AWS Backup,Encryption policies loaded; Audit keys configured,
Backup & Disaster Recovery,backup_retention_compliance_checker,Ensure backups adhere to retention policies,Backup API; retention rules,Level 2,Internal IT Team,"Windows, Linux, macOS",Veeam/Azure/AWS Backup,Retention policies defined; Schedule configured,
Backup & Disaster Recovery,snapshot_discrepancy_detector,Detect mismatches between logical and physical snapshots,Snapshot catalog; storage API,Level 3,Internal IT Team,Platform agnostic,Storage API,Snapshot catalog synced; Storage access configured,
Service Monitoring,api_endpoint_uptime_tracker,Track API endpoint availability and downtime,HTTP probes; monitoring server,Level 2,DevOps Team,Platform agnostic,Prometheus/Grafana,Probe endpoints configured; Alerts defined,
Service Monitoring,mail_server_delivery_latency_monitor,Measure mail delivery times and flag delays,SMTP logs; metrics exporter,Level 2,Infrastructure Team,"Windows, Linux",Exchange/Postfix API,Log forwarding configured; Exporter set,
Service Monitoring,database_replica_lag_monitor,Alert when DB replica lag exceeds threshold,DB replication stats; agent,Level 3,DBA Team,"Windows, Linux",SQL Server/MySQL/Postgres,Replica metrics enabled; Agent configured,
Service Monitoring,container_health_probe_default_enforcer,Ensure health probes are configured for all containers,K8s config API; admission webhook,Level 3,DevOps Team,Linux,Kubernetes API,Admission webhook configured; Default probes defined,
Service Monitoring,external_service_dependency_monitor,Monitor external APIs/services your application depends on,Service catalog; HTTP probes,Level 2,DevOps Team,Platform agnostic,Prometheus/Grafana,Service list imported; Probes configured,
Performance & Availability,storage_latency_alert,Alert on storage subsystem latency spikes,Storage metrics exporter; monitoring server,Level 2,Infrastructure Team,"Windows, Linux, macOS",Prometheus,Exporter deployed; Alert thresholds defined,
Performance & Availability,cpu_steal_time_monitor,Detect CPU steal time in virtualized environments,System metrics exporter; monitoring server,Level 2,DevOps Team,Linux,Prometheus,Exporter deployed; Scrape config loaded,
Performance & Availability,memory_swap_usage_monitor,Alert when swap usage exceeds threshold,System metrics exporter; monitoring server,Level 2,DevOps Team,Linux,Prometheus,Exporter deployed; Alert rules defined,
Performance & Availability,pod_eviction_rate_tracker,Measure pod eviction frequencies,K8s events; metrics-server,Level 2,DevOps Team,Linux,Kubernetes API,Event collection enabled; Alert rules loaded,
Performance & Availability,container_network_errors_monitor,Track container network errors,cAdvisor metrics; monitoring server,Level 2,DevOps Team,Linux,cAdvisor,Exporter deployed; Alert thresholds defined,
Logging & Observability,syslog_server_availability_checker,Ensure syslog servers are reachable and responsive,Ping/HTTP probes; log shippers,Level 2,DevOps Team,Linux,rsyslog/Fluentd,Probes configured; Shippers enabled,
Logging & Observability,log_search_performance_monitor,Measure log search query times in ELK/Splunk,Search engine APIs; metrics exporter,Level 2,DevOps Team,Linux,Elasticsearch/Splunk,API credentials loaded; Exporter configured,
Logging & Observability,log_parser_error_rate_alert,Alert on high rate of log parsing errors,Log parser logs; metrics collector,Level 2,DevOps Team,Linux,Agent (Tenantra),Parser configs loaded; Exporter enabled,
Logging & Observability,trace_span_anomaly_detector,Detect anomalous trace spans outside expected durations,Tracing data; anomaly detection model,Level 4,DevOps Team,Linux,Jaeger/Zipkin,Model endpoint configured; Trace collector enabled,
Security & Compliance,compliance_gap_analysis_reporter,Generate reports on missing compliance controls,Compliance DB; control catalog,Level 3,Security & Compliance Team,"Windows, Linux, macOS",Agent (Tenantra),Control catalog updated; Report templates configured,
Security & Compliance,policy_violation_rate_monitor,Track rate of policy violations across all systems,Agent telemetry; policy engine,Level 3,Security & Compliance Team,"Windows, Linux, macOS",Agent (Tenantra),Policy definitions loaded; Agent configured,
Security & Compliance,vulnerability_trend_reporter,Summarize trends in vulnerabilities over time,Vulnerability DB; reporting engine,Level 3,Security & Compliance Team,"Windows, Linux, macOS",Agent (Tenantra),Vulnerability feeds updated; Reporting scheduled,
Security & Compliance,remediation_completion_tracker,Track completion status of automated remediation tasks,Orchestration API; remediation logs,Level 3,Security & Compliance Team,Platform agnostic,Ansible/Terraform,Logs ingestion enabled; Orchestration credentials configured,
Security & Compliance,access_review_schedule_monitor,Ensure periodic access reviews occur as scheduled,Identity API; review workflow engine,Level 3,Security & Compliance Team,Platform agnostic,"SailPoint, Okta",Review schedules loaded; Workflow integration configured,
Security & Compliance,encryption_key_rotation_audit,Audit rotation status of data encryption keys,Vault API; key management logs,Level 3,Security & Compliance Team,Platform agnostic,Vault,Rotation schedules loaded; Audit logs enabled,
Security & Compliance,audit_log_integrity_reporter,Report on integrity of collected audit logs,Checksum engine; log storage API,Level 3,Security & Compliance Team,"Windows, Linux, macOS",Agent (Tenantra),Checksum policies loaded; Storage API credentials,
Security & Compliance,privileged_session_recording_monitor,Ensure privileged sessions are recorded per policy,Session recording API; SIEM logs,Level 4,Security & Compliance Team,"Windows, Linux, macOS",Session Recorder,Recording policies loaded; SIEM integration configured,
Security & Compliance,data_loss_incident_count_tracker,Track counts of data loss incidents over time,DLP logs; incident database,Level 3,Security & Compliance Team,Platform agnostic,DLP/Incident DB,DLP integration enabled; DB credentials configured,
Security & Compliance,user_behavior_baseline_update,Refresh UEBA baseline profiles,UEBA engine; log ingestion,Level 3,Security & Compliance Team,"Windows, Linux, macOS",UEBA Engine,Baseline config loaded; Log collection enabled,
Security & Compliance,cloud_cis_benchmark_drift_monitor,Detect drift from CIS benchmarks in cloud accounts,Cloud SDK; CIS profiles,Level 3,Security & Compliance Team,Platform agnostic,Cloud SDK,CIS profiles loaded; Cloud credentials configured,
Compliance & Audit,eu_data_protection_adherence_checker,Verify compliance with EU data protection regulations,DLP integration; policy catalog,Level 3,Security & Compliance Team,Platform agnostic,DLP/Agent,Policy catalog updated; DLP endpoints configured,
Compliance & Audit,sox_audit_evidence_collector,Collect evidence artifacts for SOX audits,Agent telemetry; audit log API,Level 3,Security & Compliance Team,"Windows, Linux, macOS",Agent (Tenantra),Evidence collection rules set; Agent configured,
Compliance & Audit,gdpr_subject_request_audit_trailer,Ensure audit trail for GDPR subject requests,Request management API; audit logs,Level 3,Security & Compliance Team,Platform agnostic,Compliance DB,Subject request logs integrated; Audit pipeline configured,
Incident Response & SOAR,soc_alert_triage_automation,Automate initial triage of SOC alerts,SOAR platform; triage playbooks,Level 4,Security Operations Team,Platform agnostic,SOAR Platform,Playbooks imported; Alert connectors configured,
Incident Response & SOAR,soc_response_playbook_execution_tracker,Track execution status of SOC playbooks,SOAR API; execution logs,Level 4,Security Operations Team,Platform agnostic,SOAR Platform,Playbook repository connected; Logging enabled,
Incident Response & SOAR,threat_hunt_playbook_trigger_monitor,Monitor triggers of threat hunting playbooks,SOAR integration; alert bus,Level 4,Security Operations Team,Platform agnostic,SOAR Platform,Trigger rules loaded; Alert bus configured,
Incident Response & SOAR,incident_escalation_policy_validator,Validate incident escalation policies in SOAR,SOAR policy engine; incident API,Level 3,Security Operations Team,Platform agnostic,SOAR Platform,Policy definitions imported; Incident connectors configured,
Threat Detection & Hunting,advanced_attack_chain_correlation_engine,Correlate multi-stage attack patterns,Threat intel feeds; UEBA data,Level 5,Threat Hunting Team,"Windows, Linux, macOS",UEBA/Threat Intel Platform,Intel feeds configured; UEBA integration enabled,
Threat Detection & Hunting,anomaly_detection_model_update,Deploy updated ML models for anomaly detection,ML pipeline; model registry,Level 5,DevOps & Security Team,Platform agnostic,ML Engine,Model registry connected; CI/CD for ML configured,
Threat Detection & Hunting,ioc_enrichment_pipeline,Automatically enrich detected IOCs with threat intel,Threat intel APIs; enrichment engine,Level 4,Security Operations Team,Platform agnostic,STIX/TAXII Connectors,Intel API credentials; Enrichment workflows loaded,
Threat Detection & Hunting,endpoint_ransomware_behavior_monitor,Detect ransomware-like file activity patterns,EDR integration; heuristic engine,Level 4,Security Operations Team,"Windows, Linux",EDR Platform,EDR connectors configured; Heuristics loaded,
Threat Detection & Hunting,lateral_movement_detection_engine,Identify lateral movement via SMB/RDP/PS remoting patterns,Network logs; UEBA engine,Level 4,Security Operations Team,"Windows, Linux",UEBA Engine,Log ingestion configured; UEBA rules loaded,
Threat Detection & Hunting,custom_threat_rule_uploader,Manage custom threat detection rules,Rule management API; agent,Level 3,Security Operations Team,"Windows, Linux, macOS",Agent (Tenantra),Rule repo configured; Agent rule sync enabled,
Threat Detection & Hunting,threat_intel_source_uptime_monitor,Monitor availability of external threat intel sources,API availability checks,Level 3,Threat Intelligence Team,Platform agnostic,STIX/TAXII Connectors,API endpoints configured; Availability probes defined,
Threat Detection & Hunting,real_time_attack_surface_mapper,Map attack surface in real-time via external scan feeds,External scan API; graph engine,Level 4,Security Operations Team,Platform agnostic,Graph Engine,Scan feed integration; Graph templates configured,
Threat Detection & Hunting,api_abuse_pattern_detector,Detect abnormal API usage patterns indicative of abuse,API logs; ML engine,Level 4,Security Operations Team,Platform agnostic,Prometheus/ML Engine,ML model endpoint; Log ingestion configured,
Threat Detection & Hunting,container_escape_detector,Detect container breakout attempts,Host monitoring agent; behavior engine,Level 4,Security Operations Team,Linux,Agent (Tenantra),Behavior rules loaded; Agent kernel hooks enabled,
Threat Detection & Hunting,pivot_path_visualization,Visualize potential pivot paths between hosts,Graph database; agent telemetry,Level 4,Threat Intelligence Team,"Windows, Linux, macOS",Graph DB,Telemetry ingestion configured; Graph templates loaded,
Threat Detection & Hunting,unattended_system_creation_monitor,Alert on creation of systems without human operator intervention,Provisioning logs; agent,Level 3,Infrastructure Security Team,Platform agnostic,Agent (Tenantra),Provisioning log ingest; Agent configured,
Threat Detection & Hunting,cloud_malware_sandbox_integration,Sandbox suspicious files in cloud-based analysis tool,Sandbox API; file transfer module,Level 4,Security Operations Team,Platform agnostic,Cloud Sandbox API,Sandbox credentials configured; File upload pipeline enabled,
Threat Detection & Hunting,privileged_process_monitor,Alert when processes run under elevated privileges unexpectedly,Process audit logs; agent,Level 4,Security Operations Team,"Windows, Linux, macOS",Agent (Tenantra),Audit rules loaded; Agent configured,
Threat Detection & Hunting,container_runtime_integrity_checker,Verify container runtime binaries are unaltered,Runtime hash DB; agent,Level 4,Security Operations Team,Linux,Agent (Tenantra),Hash database loaded; Agent binary integrity module enabled,
Threat Detection & Hunting,memory_mmap_monitor,"Detect suspicious memory mappings (e.g., code injection)",EDR integration; heuristic engine,Level 4,Security Operations Team,"Windows, Linux, macOS",EDR Platform,Heuristic rules loaded; EDR agent installed,
Threat Detection & Hunting,file_integrity_baseline_enforcer,Enforce file integrity against known-good baselines,Baseline snapshot store; agent,Level 3,Security Operations Team,"Windows, Linux, macOS",Agent (Tenantra),Baseline snapshots imported; Agent monitor enabled,
Threat Detection & Hunting,suspicious_powerShell_usage_monitor,Detect anomalous PowerShell usage patterns,ETW logs; script block telemetry,Level 4,Security Operations Team,Windows,Agent (Tenantra),Script block logging enabled; ETW integration configured,
Threat Detection & Hunting,no_ip_forwarding_detector,Ensure IP forwarding is disabled unless explicitly needed,Sysctl/netsh; agent,Level 2,Security Operations Team,"Linux, Windows",Agent (Tenantra),Agent with sysctl permissions; Baseline settings loaded,
Threat Detection & Hunting,azure_ad_anomaly_authentication_monitor,Detect anomalous Azure AD sign-in patterns,Azure AD logs; ML anomaly engine,Level 4,Security Operations Team,Platform agnostic,Azure AD,Log ingestion enabled; Anomaly model loaded,
Threat Detection & Hunting,aws_guard_duty_finding_aggregator,Aggregate AWS GuardDuty findings across accounts,AWS SDK; GuardDuty API,Level 3,Cloud Security Team,Platform agnostic,AWS SDK,AWS credentials configured; Accounts onboarded,
Threat Detection & Hunting,gcp_security_command_center_finding_sync,Sync GCP SCC findings to central console,GCP SDK; SCC API,Level 3,Cloud Security Team,Platform agnostic,GCP SDK,Service account configured; SCC API enabled,
Threat Detection & Hunting,endpoint_malware_behavioral_analysis,Conduct behavioral analysis on suspected malware,Sandboxing integration; EDR logs,Level 4,Security Operations Team,"Windows, Linux, macOS",EDR Platform,Sandbox API creds configured; EDR behavioral logs enabled,
Secure Configuration Management,cis_hardened_os_checker,Validate OS hardening against CIS Level 1/2 benchmarks,CIS bench profiles; agent,Level 3,Security & Compliance Team,"Windows, Linux, macOS",Agent (Tenantra),CIS profiles loaded; Agent runs with elevated rights,
Secure Configuration Management,registry_service_hardening_checker,Enforce secure service hardening in Windows registry,Registry baseline; agent,Level 3,Security & Compliance Team,Windows,Agent (Tenantra),Baseline registry values loaded; Agent configured,
Secure Configuration Management,ssh_key_hardening_validator,"Ensure SSH keys follow best practices (no empty passphrase, correct perms)",SSH config; agent,Level 2,Security & Compliance Team,Linux,Agent (Tenantra),SSH key policy loaded; Agent configured,
Secure Configuration Management,password_hash_algorithm_checker,"Enforce modern hashing (bcrypt, scrypt) for stored passwords",AD/LDAP or DB API,Level 3,Security & Compliance Team,"Windows, Linux","Active Directory, DB API",Hash policy definitions loaded; Agent configured,
Secure Configuration Management,local_admin_account_audit,Detect presence of unauthorized local admin accounts,Local user enumeration; agent,Level 2,SysAdmin Team,"Windows, Linux",Agent (Tenantra),Agent with user read rights; Baseline admin list loaded,
Identity & Access Management,o365_spoofing_email_detector,Identify spoofed emails in Office 365 environments,Office 365 API; anti-phishing engine,Level 4,Security Operations Team,Platform agnostic,Office 365 API,API integration configured; Phishing rules loaded,
Identity & Access Management,aws_iam_user_activity_audit,Monitor AWS IAM user activities,AWS CloudTrail; SIEM integration,Level 3,Cloud Security Team,Platform agnostic,AWS SDK,CloudTrail logs configured; SIEM connector set,
Identity & Access Management,gcp_iam_role_binding_change_monitor,Detect changes to GCP IAM role bindings,GCP Audit Logs; Pub/Sub integration,Level 3,Cloud Security Team,Platform agnostic,GCP SDK,Audit logs enabled; Pub/Sub subscription configured,
Identity & Access Management,azure_role_assignment_audit,Audit Azure role assignments and removals,Azure Activity Logs; API integration,Level 3,Cloud Security Team,Platform agnostic,Azure SDK,Activity log ingestion enabled; API creds configured,
Identity & Access Management,sar_identity_store_sync_checker,Verify synchronization status between identity stores,LDAP to Azure AD Sync; logs,Level 3,Security & Compliance Team,"Windows AD, Linux LDAP",Azure AD Connect,Sync service creds configured; Sync logs ingestion enabled,
Identity & Access Management,ssh_bruteforce_threshold_enforcer,Automatically block IPs after X failed SSH attempts,Fail2ban/IPTables; agent,Level 3,Security Operations Team,Linux,Agent (Tenantra),Fail2ban rules loaded; Agent configured,
